cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,1.271824005
2,1.434454743
3,1.548487467
4,1.573024405
5,1.544585508
6,1.47880063
7,1.387523005
8,1.275452694
9,1.146536451
10,1.014797639
11,0.889898197
12,0.77678303
13,0.67714554
14,0.592956168
15,0.528047653
16,0.470664094
17,0.420635623
18,0.377071239
19,0.339214377
20,0.305062145
21,0.272972815
22,0.242155324
23,0.212114417
24,0.182727115
25,0.154204049
26,0.124528707
27,0.09890306
28,0.07328521
29,0.049742769
30,0.028290049
31,0.008879741
32,-0.008551381
33,-0.023921938
34,-0.037270165
35,-0.048629422
36,-0.058008135
37,-0.065482338
38,-0.071095117
39,-0.074935174
40,-0.077076196
41,-0.077615761
42,-0.076670653
43,-0.074366586
44,-0.070837313
45,-0.066220627
46,-0.06065474
47,-0.05426366
48,-0.047191446
49,-0.039580176
50,-0.031548756
51,-0.023225302
52,-0.014721238
53,-0.006162327
54,0.002341464
55,0.010687324
56,0.018782374
57,0.02654406
58,0.033894138
59,0.040768779
60,0.047115357
61,0.052889151
62,0.058054284
63,0.062573001
64,0.066445328
65,0.069697543
66,0.072297782
67,0.074258408
68,0.075591639
69,0.076331393
70,0.076512114
71,0.07616995
72,0.075349743
73,0.074095959
74,0.07246317
75,0.070492372
76,0.068246299
77,0.065778395
78,0.063137386
79,0.060370006
80,0.057516412
81,0.054618472
82,0.051719268
83,0.048859434
84,0.046066928
85,0.043374113
86,0.040806176
87,0.038382652
88,0.036119761
89,0.034031111
90,0.03212258
91,0.030396354
92,0.028857578
93,0.027504084
94,0.02633491
95,0.025347736
96,0.024530783
97,0.023884225
98,0.023388673
99,0.023033988
100,0.022804688
101,0.022687258
102,0.022667084
103,0.022731708
104,0.022864908
105,0.023058522
106,0.023290606
107,0.023547548
108,0.023819088
109,0.024089908
110,0.024348101
111,0.024583551
112,0.024786224
113,0.024948518
114,0.025063484
115,0.02512544
116,0.025131291
117,0.025077041
118,0.024963695
119,0.024790415
120,0.024558482
121,0.024269529
122,0.02392611
123,0.023533433
124,0.02309563
125,0.022618064
126,0.022107867
127,0.021572452
128,0.02101743
129,0.020451194
130,0.019881422
131,0.019316172
132,0.018762915
133,0.01823073
134,0.017724298
135,0.017250397
136,0.016815536
137,0.016425412
138,0.016084331
139,0.015795729
140,0.015562374
141,0.015385925
142,0.015268752
143,0.015210706
144,0.015210036
145,0.015266764
146,0.015378013
147,0.015540365
148,0.015750111
149,0.016004052
150,0.016297422
151,0.016624517
152,0.01697954
153,0.017356955
154,0.017751157
155,0.018155479
156,0.018564181
157,0.018971239
158,0.019371498
159,0.019759248
160,0.0201288
161,0.020474311
162,0.020790991
163,0.021075137
164,0.021323375
165,0.021531133
166,0.021695797
167,0.021815236
168,0.02188831
169,0.021913651
170,0.021891453
171,0.021820229
172,0.021700988
173,0.021535191
174,0.02132362
175,0.021068734
176,0.020772513
177,0.020437682
178,0.020068862
179,0.019669556
180,0.01924309
181,0.018793295
182,0.018324829
183,0.017841831
184,0.017349176
185,0.016851876
186,0.016354784
187,0.015862748
188,0.015379657
189,0.014909309
190,0.014456812
191,0.014025924
192,0.013621624
193,0.013246413
194,0.012903973
195,0.012596452
196,0.012326408
197,0.012096419
198,0.011908396
199,0.011763089
200,0.011662041
201,0.01160544
202,0.011592271
203,0.011623145
204,0.011696669
205,0.011811344
206,0.011965684
207,0.012157447
208,0.012384455
209,0.012643936
210,0.012932478
211,0.013246777
212,0.013584132
213,0.013940095
214,0.014310967
