cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,2.177343
2,2.794818
3,3.282818
4,3.565261
5,3.711733
6,3.766237
7,3.739058
8,3.599668
9,3.359367
10,3.07971
11,2.816192
12,2.595043
13,2.420288
14,2.28308
15,2.170927
16,2.070162
17,1.970609
18,1.86536
19,1.751961
20,1.631183
21,1.505638
22,1.376268
23,1.246071
24,1.118562
25,0.9958057
26,0.8792523
27,0.7695165
28,0.6669476
29,0.5717981
30,0.4839731
31,0.4032784
32,0.3293814
33,0.2618597
34,0.2003533
35,0.144177
36,0.09322118
37,0.04717335
38,0.005752792
39,-0.0313293
40,-0.06432514
41,-0.0935462
42,-0.1189756
43,-0.1408906
44,-0.1595422
45,-0.175201
46,-0.1880979
47,-0.1984869
48,-0.2065948
49,-0.2127305
50,-0.2171137
51,-0.2200301
52,-0.2224686
53,-0.2228524
54,-0.2230819
55,-0.2224364
56,-0.221225
57,-0.2193187
58,-0.2168143
59,-0.2137677
60,-0.210109
61,-0.2060306
62,-0.2015567
63,-0.1966878
64,-0.1914251
65,-0.1857623
66,-0.1796916
67,-0.1732144
68,-0.1663214
69,-0.1589601
70,-0.1511004
71,-0.1427406
72,-0.1338526
73,-0.1244271
74,-0.114448
75,-0.1039274
76,-0.09286541
77,-0.08131199
78,-0.06929277
79,-0.05678586
80,-0.04381653
81,-0.0305052
82,-0.01683689
83,-0.002877635
84,0.01133901
85,0.02574149
86,0.0402521
87,0.05473899
88,0.06920832
89,0.08360792
90,0.09787631
91,0.1119583
92,0.125822
93,0.1394026
94,0.1526382
95,0.1655198
96,0.1780127
97,0.1900889
98,0.2017293
99,0.2129242
100,0.2236384
101,0.23391
102,0.243683
103,0.2529649
104,0.2617585
105,0.2700215
106,0.2777888
107,0.2850609
108,0.2918394
109,0.2981489
110,0.3039531
111,0.3092469
112,0.3140306
113,0.3183048
114,0.322067
115,0.3253275
116,0.3280605
117,0.3302608
118,0.3319249
119,0.3330381
120,0.333592
121,0.33358
122,0.3329917
123,0.3318258
124,0.3300747
125,0.3277329
126,0.3247931
127,0.3212609
128,0.3171324
129,0.3124215
130,0.3071237
131,0.301255
132,0.2948039
133,0.2878079
134,0.2802866
135,0.272316
136,0.2638564
137,0.2549434
138,0.2456104
139,0.2359208
140,0.2258871
141,0.2155557
142,0.2049672
143,0.1941666
144,0.1832048
145,0.1721297
146,0.160995
147,0.1498156
148,0.1386855
149,0.1276639
150,0.1167969
151,0.1061304
152,0.09571403
153,0.08559147
154,0.07580934
155,0.06640968
156,0.05742935
157,0.04890778
158,0.0408775
159,0.0333682
160,0.02640619
161,0.02001457
162,0.01421134
163,0.009009841
164,0.004427188
165,0.000466031
166,-0.00286767
167,-0.005573177
168,-0.007659589
169,-0.009127961
170,-0.009985965
171,-0.01024527
172,-0.0099196
173,-0.009027982
174,-0.007588766
175,-0.005616128
176,-0.003139666
177,-0.000186791
178,0.003220058
179,0.007053575
180,0.0112864
181,0.01589082
182,0.02084124
183,0.02610568
184,0.03165755
185,0.03746673
186,0.04350505
187,0.04974367
188,0.05615921
189,0.06272352
190,0.06941064
191,0.07619206
192,0.08305226
193,0.0899632
194,0.09690408
195,0.1038538
196,0.11079
197,0.1176929
198,0.1245398
199,0.1313171
200,0.1380041
201,0.1445834
202,0.1510409
203,0.1573588
204,0.1635263
205,0.1695297
206,0.175351
207,0.1809816
208,0.1864076
209,0.1916181
210,0.1965988
211,0.2013439
212,0.2058427
213,0.2100877
214,0.214068
215,0.2177783
