cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,1.492401303
2,1.76494285
3,1.967568353
4,2.055525042
5,2.070453765
6,2.036590777
7,1.945890079
8,1.823113074
9,1.666978512
10,1.501265401
11,1.348333746
12,1.237456896
13,1.117534579
14,1.036453279
15,0.965383182
16,0.896934234
17,0.828197867
18,0.759116412
19,0.691244387
20,0.625185493
21,0.561288326
22,0.500480194
23,0.443215067
24,0.389490631
25,0.339298495
26,0.292593891
27,0.249276426
28,0.209156904
29,0.172101256
30,0.137962097
31,0.106600186
32,0.077820953
33,0.051545313
34,0.02767727
35,0.00617626
36,-0.013014312
37,-0.029960654
38,-0.044696334
39,-0.057269807
40,-0.067743652
41,-0.076179421
42,-0.082640296
43,-0.087216516
44,-0.090066187
45,-0.091296704
46,-0.091064259
47,-0.089662741
48,-0.086910942
49,-0.083441424
50,-0.079153859
51,-0.074191766
52,-0.06871866
53,-0.06287093
54,-0.056777797
55,-0.050547544
56,-0.044311889
57,-0.038168974
58,-0.032208054
59,-0.026506846
60,-0.021125398
61,-0.016117716
62,-0.011524711
63,-0.007368893
64,-0.003654482
65,-0.000379478
66,0.002470419
67,0.004915719
68,0.00699357
69,0.00873365
70,0.010187329
71,0.011392205
72,0.012399029
73,0.013255667
74,0.014013109
75,0.014719978
76,0.015420317
77,0.016153227
78,0.016958189
79,0.017869694
80,0.01891966
81,0.020136191
82,0.021538138
83,0.023142927
84,0.024950383
85,0.026993292
86,0.029269737
87,0.031779683
88,0.034524551
89,0.037500251
90,0.040680699
91,0.044058033
92,0.047614708
93,0.051330897
94,0.055185161
95,0.059156079
96,0.063215342
97,0.067331878
98,0.071485479
99,0.075645887
100,0.079787625
101,0.083875623
102,0.087882172
103,0.091781164
104,0.095543904
105,0.099146749
106,0.102564523
107,0.105769374
108,0.108745038
109,0.111469139
110,0.113925436
111,0.116098819
112,0.117972539
113,0.119535826
114,0.120777984
115,0.12168978
116,0.122267384
117,0.12250567
118,0.122404016
119,0.121964429
120,0.121189117
121,0.120084215
122,0.118657942
123,0.116919172
124,0.114878561
125,0.11255325
126,0.109956623
127,0.107106318
128,0.104021343
129,0.100721292
130,0.09722683
131,0.093559781
132,0.089741117
133,0.085796582
134,0.081750699
135,0.077628877
136,0.073453028
137,0.069249399
138,0.065040309
139,0.060850526
140,0.056702007
141,0.05261693
142,0.048614946
143,0.044716274
144,0.040937993
145,0.037295566
146,0.033805707
147,0.030479428
148,0.027329481
149,0.024365556
150,0.02159567
151,0.019026426
152,0.016663533
153,0.014513231
154,0.012573446
155,0.010845398
156,0.009327381
157,0.008016956
158,0.006911494
159,0.006006393
160,0.005295714
161,0.004773931
162,0.004435546
163,0.004271216
164,0.004274687
165,0.004435572
166,0.004745324
167,0.005194537
168,0.005773381
169,0.006473148
170,0.007284774
171,0.008198612
172,0.009206105
173,0.010299221
174,0.011468441
175,0.012706636
176,0.014006708
177,0.01535944
178,0.016757715
179,0.018195198
180,0.019666515
181,0.021166685
182,0.022689356
183,0.02423199
184,0.025790814
185,0.027359783
186,0.028932773
187,0.030509396
188,0.032086706
189,0.033660671
190,0.035231001
191,0.03679562
192,0.038353064
193,0.03990246
194,0.041443208
195,0.042973626
196,0.044493376
197,0.046002546
198,0.047499057
199,0.048978726
200,0.050440491
201,0.051883623
202,0.053307264
203,0.054708605
204,0.056086133
205,0.057436916
206,0.058759861
207,0.060050461
208,0.061303767
209,0.062517136
210,0.063689902
211,0.064814019
212,0.065885167
213,0.066898996
