%Time (s)	Wheel Position (deg)	Slide position (mm)	Wheel Speed (deg/s)	Slide Speed (mm/s)	Actual sample time (ms)	%2/14/20193:01 PM
2.100	8877.940	115.779	509.500	1165.877	20.000
2.120	8887.700	137.614	473.417	1031.547	20.000
2.140	8897.000	157.013	462.000	902.580	20.000
2.160	8906.240	173.577	454.917	751.075	20.000
2.180	8915.380	186.862	477.167	568.669	20.000
2.200	8925.560	196.148	546.083	357.278	21.000
2.220	8937.040	201.097	573.000	138.289	19.000
2.240	8948.460	201.710	595.833	-75.912	20.000
2.260	8961.060	198.170	662.000	-274.024	21.000
2.280	8974.720	190.953	687.750	-439.766	21.000
2.300	8988.240	180.810	646.667	-568.031	18.000
2.320	9000.840	168.367	659.667	-676.504	20.000
2.340	9014.820	153.811	709.750	-778.081	20.000
2.360	9029.040	137.323	719.500	-867.656	20.000
2.380	9043.500	119.196	711.000	-941.461	19.000
2.400	9057.600	99.690	725.583	-1015.522	21.000
2.420	9072.660	78.698	765.917	-1072.152	20.000
2.440	9088.180	57.062	788.417	-1095.137	20.000
2.460	9104.320	35.488	838.917	-1028.738	20.000
2.480	9121.660	16.840	870.667	-818.495	20.000
2.500	9139.160	3.815	908.417	-440.276	20.000
2.520	9157.940	0.123	945.833	85.680	20.000
2.540	9176.540	7.416	905.083	646.752	21.000
2.560	9193.700	25.083	792.333	1055.489	20.000
2.580	9208.020	48.282	633.417	1239.618	18.000
2.600	9219.620	73.734	597.417	1288.460	23.000
2.620	9231.880	99.108	539.583	1226.466	18.000
2.640	9241.200	122.460	472.750	1118.057	21.000
2.660	9251.160	143.744	482.333	1005.243	20.000
2.680	9260.400	162.483	459.417	861.272	20.000
2.700	9269.720	178.036	472.583	694.189	20.000
2.720	9279.420	190.095	504.250	503.483	20.000
2.740	9289.900	198.032	532.917	288.070	19.000
2.760	9300.820	201.618	577.333	76.167	21.000
2.780	9313.020	201.082	628.333	-138.736	20.000
2.800	9325.820	196.209	657.833	-332.250	20.000
2.820	9339.100	188.057	640.250	-480.754	19.000
2.840	9351.580	177.163	654.250	-601.932	20.000
2.860	9365.440	164.092	703.333	-706.447	20.000
2.880	9379.520	148.953	709.417	-806.301	20.000
2.900	9393.820	131.930	720.583	-890.704	21.000
2.920	9408.360	113.374	734.333	-968.915	20.000
