	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	816.355	93.398	29.005	29.114
	817.383	93.297	29.020	29.107
	818.447	93.537	29.010	29.123
	819.507	93.576	28.990	29.100
	820.545	93.478	28.973	29.112
	821.601	93.522	28.984	29.095
	822.636	93.330	28.967	29.089
	823.662	93.408	28.987	29.091
	824.697	93.361	28.979	29.099
	825.761	93.481	28.984	29.087
	826.793	93.407	28.978	29.117
	827.821	93.451	28.981	29.100
	828.856	93.511	28.984	29.072
	829.884	93.502	29.001	29.106
	830.911	93.417	28.978	29.079
	831.949	93.544	28.999	29.101
	832.981	93.494	28.996	29.115
	834.010	93.449	28.968	29.091
	835.036	93.409	28.987	29.088
	836.066	93.585	28.981	29.105
	837.097	93.462	28.991	29.087
	838.125	93.528	28.991	29.093
	839.163	93.539	28.977	29.075
	840.190	93.437	28.988	29.084
	841.252	93.486	28.987	29.092
	842.320	93.561	28.984	29.088
	843.348	93.376	28.981	29.075
	844.381	93.471	29.010	29.093
	845.419	93.524	28.973	29.086
	846.447	93.469	28.964	29.104
	847.476	93.468	28.976	29.112
	848.513	93.601	28.980	29.098
	849.539	93.530	28.967	29.108
	850.567	93.454	28.985	29.081
	851.596	93.429	28.998	29.087
	852.655	93.377	28.977	29.100
	853.723	93.479	28.979	29.080
	854.752	93.492	28.976	29.073
	855.788	93.454	28.983	29.094
	856.822	93.470	28.982	29.075
	857.875	93.445	28.982	29.084
	858.899	93.462	28.999	29.089
	859.926	93.597	28.966	29.104
	860.965	93.516	28.977	29.096
	862.033	93.473	28.990	29.103
	863.081	93.508	28.960	29.073
	864.117	93.502	28.977	29.089
	865.148	93.501	28.971	29.089
	866.180	93.545	28.996	29.090
	867.208	93.658	28.963	29.076
	868.238	93.445	28.985	29.090
	869.266	93.575	28.973	29.067
	870.293	93.516	28.951	29.073
	871.324	93.414	28.961	29.083
	872.351	93.554	28.965	29.077
	873.377	93.521	28.974	29.081
	874.418	93.541	28.970	29.074
	875.446	93.733	28.963	29.085
	876.493	93.539	28.959	29.082
	877.531	93.517	28.980	29.069
	878.558	93.557	28.968	29.070
	879.584	93.629	28.964	29.081
	880.613	93.544	28.948	29.086
	881.641	93.717	28.974	29.105
	882.672	93.424	28.957	29.087
	883.701	93.544	28.964	29.084
	884.727	93.659	28.968	29.072
	885.753	93.400	28.952	29.066
	886.782	93.568	28.962	29.073
	887.810	93.525	28.967	29.069
	888.840	93.558	28.964	29.068
	889.874	93.389	28.972	29.084
	890.909	93.689	28.938	29.068
	891.944	93.447	28.957	29.074
	892.973	93.469	28.964	29.081
	894.002	93.478	28.941	29.088
	895.036	93.470	28.956	29.060
	896.064	93.475	28.959	29.049
	897.099	93.542	28.955	29.055
	898.133	93.470	28.979	29.069
	899.163	93.628	28.929	29.079
	900.197	93.355	28.950	29.054
	901.226	93.517	28.952	29.086
	902.255	93.511	28.976	29.070
	903.285	93.423	28.955	29.053
	904.313	93.395	28.970	29.052
	905.342	93.530	28.962	29.071
	906.368	93.498	28.953	29.055
	907.395	93.547	28.954	29.060
	908.424	93.392	28.955	29.089
