	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	185.593	93.535	23.587	23.682
	186.613	93.157	23.569	23.657
	187.636	93.245	23.576	23.673
	188.660	93.325	23.570	23.664
	189.680	93.419	23.566	23.658
	190.700	93.304	23.587	23.672
	191.720	93.208	23.586	23.687
	192.741	93.352	23.591	23.654
	193.776	93.231	23.568	23.682
	194.800	93.420	23.582	23.697
	195.828	93.363	23.574	23.671
	196.850	93.188	23.580	23.693
	197.867	93.003	23.591	23.667
	198.888	93.216	23.572	23.679
	199.910	93.231	23.579	23.665
	200.932	93.280	23.568	23.663
	201.952	93.314	23.578	23.681
	202.970	93.304	23.567	23.664
	203.990	93.256	23.569	23.677
	205.011	93.340	23.579	23.646
	206.032	93.231	23.563	23.671
	207.059	93.103	23.563	23.650
	208.080	93.226	23.567	23.640
	209.106	93.033	23.580	23.653
	210.126	93.296	23.579	23.661
	211.149	93.108	23.558	23.661
	212.168	92.928	23.584	23.659
	213.188	93.371	23.593	23.647
	214.212	93.514	23.574	23.675
	215.234	93.276	23.549	23.645
	216.253	93.317	23.582	23.679
	217.273	93.269	23.578	23.641
	218.293	93.214	23.582	23.662
	219.315	93.337	23.579	23.734
	220.344	93.223	23.627	23.742
	221.367	93.131	23.622	23.839
	222.390	93.502	23.652	23.887
	223.413	93.393	23.687	23.975
	224.435	93.554	23.702	23.996
	225.472	93.286	23.741	24.060
	226.490	93.240	23.766	24.105
	227.512	93.242	23.806	24.184
	228.537	93.212	23.846	24.236
	229.559	93.433	23.886	24.306
	230.582	93.322	23.923	24.389
	231.603	93.314	23.971	24.437
	232.624	93.414	24.040	24.533
	233.647	93.329	24.073	24.588
	234.668	93.382	24.136	24.648
	235.688	93.295	24.185	24.716
	236.707	93.106	24.240	24.786
	237.728	93.305	24.277	24.879
	238.748	93.464	24.324	24.954
	239.772	93.328	24.414	25.015
	240.794	93.338	24.470	25.090
	241.819	93.220	24.513	25.156
	242.838	93.542	24.587	25.236
	243.858	93.018	24.632	25.298
	244.877	93.287	24.688	25.354
	245.895	93.349	24.761	25.433
	246.920	93.268	24.790	25.496
