%Time (sec)	TC 1	TC 2	TC 3	TC 4	TC 5	TC 6	TC 7 	TC 8 - Near Heater						10/17/2019	2:41 PM						
1040	19.5	20.5	21.5	22.5	23.7	24.7	25.8	26.8							
1050	19.5	20.5	21.6	22.6	23.8	24.7	25.9	26.8							
1060	19.5	20.5	21.6	22.6	23.8	24.8	25.9	26.9							
1070	19.6	20.5	21.6	22.6	23.8	24.8	26	26.9							
1080	19.6	20.6	21.7	22.7	23.9	24.9	26	27							
1090	19.6	20.6	21.7	22.7	23.9	24.9	26.1	27							
1100	19.6	20.6	21.7	22.7	24	25	26.1	27.1							
1110	19.6	20.6	21.7	22.8	24	25	26.2	27.1							
1120	19.7	20.7	21.8	22.8	24	25	26.2	27.2							
1130	19.7	20.7	21.8	22.8	24.1	25.1	26.2	27.2							
1140	19.7	20.7	21.8	22.9	24.1	25.1	26.3	27.3							
1150	19.7	20.7	21.9	22.9	24.2	25.2	26.3	27.3							
1160	19.7	20.7	21.9	22.9	24.2	25.2	26.4	27.4							
1170	19.7	20.8	21.9	23	24.2	25.2	26.4	27.4							
1180	19.7	20.8	21.9	23	24.2	25.3	26.4	27.5							
1190	19.8	20.8	21.9	23	24.3	25.3	26.5	27.5							
1200	19.8	20.8	22	23	24.3	25.3	26.5	27.6							
1210	19.8	20.8	22	23.1	24.3	25.4	26.6	27.6							
1220	19.8	20.9	22	23.1	24.4	25.4	26.6	27.6							
1230	19.8	20.9	22	23.1	24.4	25.4	26.6	27.7							
1240	19.8	20.9	22.1	23.2	24.4	25.5	26.7	27.7							
1250	19.8	20.9	22.1	23.2	24.4	25.5	26.7	27.7							
1260	19.9	20.9	22.1	23.2	24.5	25.5	26.8	27.8							
1270	19.9	21	22.1	23.2	24.5	25.6	26.8	27.8							
1280	19.9	21	22.2	23.3	24.6	25.6	26.8	27.9							
1290	19.9	21	22.2	23.3	24.6	25.6	26.8	27.9							
1300	19.9	21	22.2	23.3	24.6	25.7	26.9	27.9							
1310	19.9	21	22.2	23.3	24.6	25.7	26.9	28							
1320	19.9	21	22.2	23.4	24.7	25.7	27	28							
1330	19.9	21.1	22.3	23.4	24.7	25.8	27	28.1							
1340	20	21.1	22.3	23.4	24.7	25.8	27	28.1							
1350	20	21.1	22.3	23.4	24.7	25.8	27	28.1							
1360	20	21.1	22.3	23.5	24.8	25.8	27.1	28.2							
1370	20	21.1	22.3	23.5	24.8	25.9	27.1	28.2							
1380	20	21.1	22.3	23.5	24.8	25.9	27.1	28.2							
1390	20	21.1	22.4	23.5	24.8	25.9	27.1	28.2							
1400	20	21.2	22.4	23.5	24.8	25.9	27.2	28.3							
1410	20	21.2	22.4	23.5	24.9	26	27.2	28.3							
1420	20	21.2	22.4	23.5	24.9	26	27.2	28.3							
1430	20.1	21.2	22.4	23.6	24.9	26	27.3	28.4							
1440	20.1	21.2	22.4	23.6	24.9	26	27.3	28.4							
1450	20.1	21.2	22.5	23.6	25	26	27.3	28.4							
1460	20.1	21.2	22.5	23.6	25	26.1	27.3	28.4							
1470	20.1	21.2	22.5	23.6	25	26.1	27.3	28.5							
1480	20.1	21.3	22.5	23.7	25	26.1	27.4	28.5							
1490	20.1	21.2	22.5	23.7	25	26.1	27.4	28.5							
1500	20.1	21.3	22.5	23.7	25	26.2	27.4	28.5							
1510	20.1	21.3	22.5	23.7	25.1	26.2	27.4	28.6							
1520	20.1	21.3	22.6	23.7	25.1	26.2	27.5	28.6							
1530	20.1	21.3	22.6	23.7	25.1	26.2	27.5	28.6							
1540	20.1	21.3	22.6	23.7	25.1	26.2	27.5	28.6							
1550	20.1	21.3	22.6	23.8	25.1	26.3	27.5	28.7							
1560	20.2	21.3	22.6	23.8	25.2	26.3	27.6	28.7							
1570	20.2	21.4	22.6	23.8	25.2	26.3	27.6	28.7							
1580	20.2	21.4	22.6	23.8	25.2	26.3	27.6	28.7							
1590	20.2	21.4	22.6	23.8	25.2	26.3	27.6	28.8							
1600	20.2	21.4	22.6	23.8	25.2	26.3	27.6	28.8							
1610	20.2	21.4	22.7	23.9	25.2	26.4	27.7	28.8							
1620	20.2	21.4	22.7	23.9	25.2	26.4	27.7	28.8							
1630	20.2	21.4	22.7	23.9	25.3	26.4	27.7	28.8							
1640	20.2	21.4	22.7	23.9	25.3	26.4	27.7	28.9							
1650	20.2	21.4	22.7	23.9	25.3	26.4	27.7	28.9							
1660	20.2	21.4	22.7	23.9	25.3	26.4	27.7	28.9							
1670	20.3	21.4	22.7	23.9	25.3	26.5	27.8	28.9							
1680	20.3	21.4	22.7	23.9	25.3	26.5	27.8	28.9							
1690	20.2	21.4	22.7	24	25.3	26.5	27.8	28.9							
1700	20.3	21.5	22.8	24	25.4	26.5	27.8	29							
1710	20.3	21.5	22.8	24	25.4	26.5	27.8	29							
1720	20.3	21.5	22.8	24	25.4	26.5	27.8	29							
1730	20.3	21.5	22.8	24	25.4	26.5	27.9	29							
1740	20.3	21.5	22.8	24	25.4	26.6	27.9	29							
1750	20.3	21.5	22.8	24	25.4	26.6	27.9	29.1							
1760	20.3	21.5	22.8	24	25.4	26.6	27.9	29.1							
1770	20.3	21.5	22.8	24	25.5	26.6	27.9	29.1							
1780	20.3	21.5	22.8	24.1	25.4	26.6	27.9	29.1							
1790	20.3	21.5	22.8	24.1	25.5	26.6	27.9	29.1							
1800	20.3	21.5	22.8	24.1	25.5	26.6	28	29.1							
1810	20.3	21.5	22.9	24.1	25.5	26.7	28	29.2							
1820	20.3	21.5	22.9	24.1	25.5	26.7	28	29.2							
1830	20.3	21.6	22.9	24.1	25.5	26.7	28	29.2							
1840	20.3	21.6	22.9	24.1	25.5	26.7	28	29.2							
1850	20.3	21.6	22.9	24.1	25.5	26.7	28	29.2							
1860	20.4	21.6	22.9	24.1	25.5	26.7	28	29.2							
1870	20.3	21.6	22.9	24.1	25.5	26.7	28	29.2							
1880	20.4	21.6	22.9	24.1	25.6	26.7	28	29.3							
1890	20.4	21.6	22.9	24.1	25.6	26.7	28.1	29.3							
1900	20.4	21.6	22.9	24.2	25.6	26.8	28.1	29.3							
